month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,source,remaining_lease,remaining_lease_years,remaining_lease_months,remaining_lease_computed,failure_reason,rid
2015-06-01,SENGKANG,4 ROOM,436C,FERNVALE RD,22 TO 24,96.0,Model A,2010,445000.0,Jan2015-Dec2016 (Registration),93.0,82,6,82 years 06 months,id_duplicate,S4364206S
2015-06-01,SENGKANG,4 ROOM,436B,FERNVALE RD,04 TO 06,96.0,Model A,2010,435000.0,Jan2015-Dec2016 (Registration),93.0,82,6,82 years 06 months,id_duplicate,S4364206S
2015-06-01,SENGKANG,4 ROOM,439C,SENGKANG WEST AVE,13 TO 15,94.0,Model A,2011,428000.0,Jan2015-Dec2016 (Registration),94.0,83,6,83 years 06 months,id_duplicate,S4394206S
2015-06-01,SENGKANG,4 ROOM,439B,SENGKANG WEST AVE,10 TO 12,94.0,Model A,2011,428000.0,Jan2015-Dec2016 (Registration),94.0,83,6,83 years 06 months,id_duplicate,S4394206S
2015-06-01,SENGKANG,4 ROOM,439B,SENGKANG WEST AVE,07 TO 09,94.0,Model A,2011,420000.0,Jan2015-Dec2016 (Registration),94.0,83,6,83 years 06 months,id_duplicate,S4394206S
2015-06-01,SENGKANG,4 ROOM,439A,SENGKANG WEST AVE,07 TO 09,94.0,Model A,2011,418000.0,Jan2015-Dec2016 (Registration),94.0,83,6,83 years 06 months,id_duplicate,S4394206S
2015-06-01,SENGKANG,4 ROOM,275B,COMPASSVALE LINK,01 TO 03,90.0,Premium Apartment,2009,410000.0,Jan2015-Dec2016 (Registration),93.0,81,6,81 years 06 months,id_duplicate,S2754206S
2015-06-01,SENGKANG,4 ROOM,441C,FERNVALE RD,01 TO 03,92.0,Model A,2012,393000.0,Jan2015-Dec2016 (Registration),95.0,84,6,84 years 06 months,id_duplicate,S4414206S
2015-06-01,SENGKANG,4 ROOM,408B,FERNVALE RD,10 TO 12,95.0,Premium Apartment,2004,388000.0,Jan2015-Dec2016 (Registration),88.0,76,6,76 years 06 months,id_duplicate,S4084206S
2015-06-01,PUNGGOL,4 ROOM,302C,PUNGGOL PL,07 TO 09,93.0,Premium Apartment,2011,495000.0,Jan2015-Dec2016 (Registration),94.0,83,6,83 years 06 months,id_duplicate,S3024206P
2015-06-01,JURONG WEST,EXECUTIVE,665B,JURONG WEST ST 64,07 TO 09,130.0,Apartment,2000,600000.0,Jan2015-Dec2016 (Registration),83.0,72,6,72 years 06 months,id_duplicate,S6655706J
2015-06-01,JURONG WEST,EXECUTIVE,671C,JURONG WEST ST 65,07 TO 09,125.0,Apartment,2002,515000.0,Jan2015-Dec2016 (Registration),86.0,74,6,74 years 06 months,id_duplicate,S6715706J
2015-06-01,JURONG WEST,EXECUTIVE,671A,JURONG WEST ST 65,04 TO 06,125.0,Apartment,2002,510000.0,Jan2015-Dec2016 (Registration),86.0,74,6,74 years 06 months,id_duplicate,S6715706J
2015-06-01,JURONG WEST,5 ROOM,686C,JURONG WEST CTRL 1,16 TO 18,111.0,Premium Apartment,2000,545000.0,Jan2015-Dec2016 (Registration),84.0,72,6,72 years 06 months,id_duplicate,S6864606J
2015-06-01,JURONG WEST,EXECUTIVE,469,JURONG WEST ST 41,10 TO 12,151.0,Maisonette,1985,680000.0,Jan2015-Dec2016 (Registration),68.0,57,6,57 years 06 months,id_duplicate,S4695706J
2015-06-01,KALLANG/WHAMPOA,3 ROOM,65,KALLANG BAHRU,04 TO 06,65.0,Improved,1981,328000.0,Jan2015-Dec2016 (Registration),64.0,53,6,53 years 06 months,id_duplicate,S0653606K
2015-06-01,KALLANG/WHAMPOA,3 ROOM,74,WHAMPOA DR,13 TO 15,66.0,Improved,1981,323000.0,Jan2015-Dec2016 (Registration),65.0,53,6,53 years 06 months,id_duplicate,S0743606K
2015-06-01,JURONG WEST,5 ROOM,987C,JURONG WEST ST 93,13 TO 15,112.0,Premium Apartment,2006,492000.0,Jan2015-Dec2016 (Registration),89.0,78,6,78 years 06 months,id_duplicate,S9874606J
2015-06-01,JURONG WEST,5 ROOM,268C,BOON LAY DR,04 TO 06,110.0,Improved,2002,425000.0,Jan2015-Dec2016 (Registration),85.0,74,6,74 years 06 months,id_duplicate,S2684606J
2015-06-01,JURONG WEST,5 ROOM,619,JURONG WEST ST 65,04 TO 06,110.0,Improved,2000,420000.0,Jan2015-Dec2016 (Registration),84.0,72,6,72 years 06 months,id_duplicate,S6194606J
2015-06-01,JURONG WEST,5 ROOM,675B,JURONG WEST ST 64,01 TO 03,110.0,Premium Apartment,2008,408000.0,Jan2015-Dec2016 (Registration),92.0,80,6,80 years 06 months,id_duplicate,S6754606J
2015-06-01,JURONG WEST,4 ROOM,337B,TAH CHING RD,16 TO 18,94.0,Model A,2010,455000.0,Jan2015-Dec2016 (Registration),93.0,82,6,82 years 06 months,id_duplicate,S3373806J
2015-06-01,JURONG WEST,4 ROOM,685C,JURONG WEST CTRL 1,07 TO 09,94.0,Premium Apartment,2000,450000.0,Jan2015-Dec2016 (Registration),84.0,72,6,72 years 06 months,id_duplicate,S6853806J
2015-06-01,JURONG WEST,4 ROOM,337A,TAH CHING RD,04 TO 06,92.0,Model A,2010,430000.0,Jan2015-Dec2016 (Registration),93.0,82,6,82 years 06 months,id_duplicate,S3373806J
2015-06-01,JURONG WEST,4 ROOM,337D,TAH CHING RD,04 TO 06,93.0,Model A,2010,420000.0,Jan2015-Dec2016 (Registration),93.0,82,6,82 years 06 months,id_duplicate,S3373806J
2015-06-01,JURONG WEST,4 ROOM,668D,JURONG WEST ST 64,04 TO 06,90.0,Model A2,2000,410000.0,Jan2015-Dec2016 (Registration),84.0,72,6,72 years 06 months,id_duplicate,S6683806J
2015-06-01,JURONG WEST,5 ROOM,636,JURONG WEST ST 65,10 TO 12,110.0,Improved,2001,488000.0,Jan2015-Dec2016 (Registration),85.0,73,6,73 years 06 months,id_duplicate,S6364606J
2015-06-01,JURONG WEST,5 ROOM,653A,JURONG WEST ST 61,16 TO 18,110.0,Improved,2002,481000.0,Jan2015-Dec2016 (Registration),86.0,74,6,74 years 06 months,id_duplicate,S6534606J
